##general,,,,,,,,,,,,
version,max_downlink_commands,,,,,,,,,,,
1.0,5,,,,,,,,,,,
##models,,,,,,,,,,,,
name,selectors,,,,,,,,,,,
all,{ mId: vicki },,,,,,,,,,,
others,,,,,,,,,,,,
##objects,,,,,,,,,,,,
id,name,value,type,access_mode,value_type,precision,units,cov_increment,min_value,max_value,models,description
setUplinkType,Set uplink type command,0,binary,RW,UINT8,,,1,0,1,all,"0 - unconfirmed, 1 - confirmed"
getUplinkType,Get uplink type command,0,binary,RW,UINT8,,,1,0,1,all,
setTargetTemperatureAndMotorPosition:motorPosition,Set target temperature and motorPosition,0,number,RW,UINT8,,,1,0,255,all,range 0 to motorRange
setTargetTemperatureAndMotorPosition:targetTemperature,Set target temperature and targetTemperature,0,number,RW,UINT8,,Cel,1,5,30,all,digits in range 5-30
setWatchDogParams:confirmedUplinks,Set watchdog params confirmedUplinks,0,number,RW,UINT8,,,1,0,255,all,
setWatchDogParams:unconfirmedUplinks,Set watchdog params unconfirmedUplinks,0,number,RW,UINT8,,,1,0,255,all,
getWatchDogParams,Get watchdog params command,0,binary,RW,UINT8,,,1,0,1,all,
setPrimaryOperationalMode,Set primary operational mode command,0,number,RW,UINT8,,,1,0,255,all,"0 - Online manual control mode. Default for the device, 1 - Online automatic control mode, 2 - Online automatic control mode with external temperature reading."
getPrimaryOperationalMode,Get primary operational mode command,0,binary,RW,UINT8,,,1,0,1,all,
setProportionalAlgorithmParameters:coefficient,Set proportional algorithm parameters coefficent,0,number,RW,UINT8,,,1,0,255,all,
setProportionalAlgorithmParameters:period,Set proportional algorithm parameters period,0,number,RW,UINT8,,,1,0,255,all,
getProportionalAlgorithmParameters,Get proportional algorithm parameters command,0,binary,RW,UINT8,,,1,0,1,all,
setTemperatureControlAlgorithm,Set temperature control algorithm command,0,binary,RW,UINT8,,,1,0,1,all,"0 - Proportional, 1 - Equal"
getTemperatureControlAlgorithm,Get temperature control algorithm command,0,binary,RW,UINT8,,,1,0,1,all,
setMotorPositionOnly,Set motor position only command,0,number,RW,UINT16,,,1,0,65535,all,range 0 to motorRange
deviceReset,Device reset command,0,binary,RW,UINT8,,,1,0,1,all,
setChildLockBehavior,Set child lock behavior command,0,binary,RW,UINT8,,,1,0,1,all,"0 - Child lock is automatically disabled when the device goes offline,  1 - Child lock remains unchanged when the device goes offline"
getChildLockBehavior,Get child lock behavior command,0,binary,RW,UINT8,,,1,0,1,all,
setProportionalGain,Set proportional gain command,0,number,RW,FLOAT,2,,0.1,,,all,
getProportionalGain,Get proportional gain command,0,binary,RW,UINT8,,,1,0,1,all,
setExternalTemperatureFloat,Set external temperature float command,0,number,RW,FLOAT,2,Cel,0.1,,,all,
setIntegralGain,Set integral gain command,0,number,RW,FLOAT,2,,0.1,,,all,
getIntegralGain,Get integral gain command,0,binary,RW,UINT8,,,1,0,1,all,
setPiRunPeriod,Set PI run period command,0,number,RW,UINT8,,minutes,1,0,255,all,in minutes
getPiRunPeriod,Get PI run period command,0,binary,RW,UINT8,,,1,0,1,all,
setTempHysteresis,Set temp hysteresis command,0,number,RW,UINT8,,,1,0,255,all,
getTempHysteresis,Get temp hysteresis command,0,binary,RW,UINT8,,,1,0,1,all,
setOpenWindowPrecisely:enable,Set open window precisely enable,0,binary,RW,UINT8,,,1,0,255,all,
setOpenWindowPrecisely:duration,Set open window precisely duration,0,number,RW,UINT16,,minutes,1,0,65535,all,in minutes
setOpenWindowPrecisely:delta,Set open window precisely delta,0,number,RW,UINT16,,,1,0,65535,all,
getOpenWindowPrecisely,Get open window precisely command,0,binary,RW,UINT8,,,1,0,1,all,
setForceAttach,Set force attach command,0,binary,RW,UINT8,,,1,0,1,all,"0: disabled, 1: enabled"
getForceAttach,Get force attach command,0,binary,RW,UINT8,,,1,0,1,all,
sendCustomHexCommand,Send custom hex command command,"""""",string,RW,STRING,,,,,,all,Hexa payload as string like '014F32'
